address_found,suburb,postcode,END_LATITUDE,END_LONGITUDE
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.49561,-0.206294
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495431,-0.20622
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495556,-0.206293
"110, Philbeach Gardens, Earl's Court, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW5 9EZ, United Kingdom",Earl's Court,SW5 9EZ,51.490579,-0.197274
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.495713,-0.206208
"Viva Dalston, 2, Stoke Newington Road, Shacklewell, London Borough of Hackney, London, Greater London, England, N16 7XN, United Kingdom",Shacklewell,N16 7XN,51.550688,-0.075132
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495556,-0.206287
"Northside Studios, 16-29, Andrews Road, Haggerston, London Borough of Hackney, London, Greater London, England, E8 4FX, United Kingdom",Haggerston,E8 4FX,51.534627,-0.060592
"Wood Lane, Shepherd's Bush, London Borough of Hammersmith and Fulham, London, Greater London, England, W12 7BF, United Kingdom",Shepherd's Bush,W12 7BF,51.506294,-0.224444
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495577,-0.206214
"127, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 5SF, United Kingdom",Kensington,W8 5SF,51.500959,-0.193175
"Ravenscourt Road, Hammersmith, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 0UH, United Kingdom",Hammersmith,W6 0UH,51.494154,-0.23658
"South Lambeth Road, Vauxhall, London Borough of Lambeth, London, Greater London, England, SW8 1SR, United Kingdom",Vauxhall,SW8 1SR,51.485059,-0.122454
"One Lyric Square, 1, Lyric Square, Hammersmith, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 0ED, United Kingdom",Hammersmith,W6 0ED,51.492988,-0.226002
"102-110, Loudoun Road, St. John's Wood, London Borough of Camden, London, Greater London, England, NW8 0LA, United Kingdom",St. John's Wood,NW8 0LA,51.538269,-0.178683
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.49556,-0.206319
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.49576,-0.206252
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.495757,-0.206369
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495464,-0.206334
