address_found,suburb,postcode,START_LATITUDE,START_LONGITUDE
"Mimmo La Bufala, 45a, South End Road, Vale of Health, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2QB, United Kingdom",Belsize Park,NW3 2QB,51.555373,-0.166287
"The Garden Gate, 14, South End Road, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2QE, United Kingdom",Belsize Park,NW3 2QE,51.554488,-0.165724
"9, Logan Place, Earl's Court, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 6DJ, United Kingdom",Earl's Court,W8 6DJ,51.495112,-0.196932
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495397,-0.206241
"8, Waterloo Place, St. James's, Mayfair, London, Greater London, England, SW1Y 4BN, United Kingdom",Mayfair,SW1Y 4BN,51.507687,-0.132824
"22, Belsize Park Gardens, Swiss Cottage, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 4LH, United Kingdom",Belsize Park,NW3 4LH,51.547963,-0.168158
"Haverstock Hill, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 4RB, United Kingdom",Belsize Park,NW3 4RB,51.551847,-0.166985
"Cambridge Heath Road, Globe Town, Bethnal Green, London Borough of Tower Hamlets, London, Greater London, England, E2 0EL, United Kingdom",Bethnal Green,E2 0EL,51.527063,-0.055682
"Central Line Service Control Centre, Wood Lane, Shepherd's Bush, London Borough of Hammersmith and Fulham, London, Greater London, England, W12 7JY, United Kingdom",Shepherd's Bush,W12 7JY,51.506442,-0.224455
"London Clinic, 20, Devonshire Place, East Marylebone, Marylebone, Camden Town, London, Greater London, England, W1G 6BW, United Kingdom",Marylebone,W1G 6BW,51.52284,-0.151056
"Lord Kensington House, 5, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.49576,-0.205988
"Gordon Cottage, Earsby Street, West Kensington, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 8XH, United Kingdom",West Kensington,W14 8XH,51.495281,-0.208738
"Hammersmith Road, West Kensington, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 8XJ, United Kingdom",West Kensington,W14 8XJ,51.495917,-0.208488
"1, Ravenscourt Place, Hammersmith, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 0UN, United Kingdom",Hammersmith,W6 0UN,51.493978,-0.236481
"Lawn Road, Maitland Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2QU, United Kingdom",Belsize Park,NW3 2QU,51.553255,-0.161363
"2, Crawford Place, Marylebone, London, Greater London, England, W1H 5NA, United Kingdom",Marylebone,W1H 5NA,51.517766,-0.166407
"The Magdala, 2a, South Hill Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2SB, United Kingdom",Belsize Park,NW3 2SB,51.555332,-0.166019
"Howland Street, Fitzrovia, London Borough of Camden, London, Greater London, England, W1T 4TN, United Kingdom",Fitzrovia,W1T 4TN,51.522104,-0.136123
"The Magdala, 2a, South Hill Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2SB, United Kingdom",Belsize Park,NW3 2SB,51.555256,-0.166204
